tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000001,short,Carmencita,Carmencita,0,1894,\N,1,"Documentary,Short"
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,"Animation,Short"
tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,"Animation,Comedy,Romance"
tt0106012,tvSeries,Glückliche Reise,Glückliche Reise,0,1992,1995,90,\N
tt0106013,tvSeries,Good Advice,Good Advice,0,1993,1994,30,Comedy
tt0106014,tvSeries,Goodnight Sweetheart,Goodnight Sweetheart,0,1993,2016,30,"Comedy,Drama,Fantasy"
tt0106015,tvSeries,Gosei Sentai Dairanger,Gosei sentai Dairanger,0,1993,1994,25,"Action,Adventure,Drama"
tt0106016,tvSeries,Gottschalk Late Night,Gottschalk Late Night,0,1992,1995,60,"Comedy,Music,Talk-Show"
tt0106017,tvSeries,Grace Under Fire,Grace Under Fire,0,1993,1998,30,"Comedy,Romance"
tt0106018,tvMiniSeries,Den gråtande ministern,Den gråtande ministern,0,1993,1993,135,"Drama,Romance,Thriller"
tt0106019,tvSeries,Happy Holiday,Happy Holiday,0,1993,\N,45,\N
tt0106020,tvSeries,Harry & Sunny,Harry & Sunny,0,1993,\N,50,\N
tt0106021,tvSeries,Harry,Harry,0,1993,1995,50,Drama
tt0106022,tvSeries,Harts of the West,Harts of the West,0,1993,1994,60,"Comedy,Drama,Western"
tt0106023,tvSeries,Health and Efficiency,Health and Efficiency,0,1993,1995,30,Comedy
tt0000016,short,Barque sortant du port,Barque sortant du port,0,1895,\N,1,"Documentary,Short"
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,"Documentary,Short"
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,0,1895,\N,1,Short
tt0000019,short,The Clown Barber,The Clown Barber,0,1898,\N,\N,"Comedy,Short"
