tconst,directors,writers
tt0000001,nm0005690,\N
tt0000002,nm0721526,\N
tt0000003,nm0721526,\N
tt0000004,nm0721526,\N
tt0000005,nm0005690,\N
tt0000006,nm0005690,\N
tt0000007,"nm0005690,nm0374658",\N
tt0000008,nm0005690,\N
tt0000009,nm0085156,nm0085156
tt0000235,nm0617588,nm0353584
tt0000236,nm0349785,\N
tt0000237,nm0349785,\N
tt0000238,nm0349785,\N
tt0000239,nm0349785,\N
tt0000240,\N,\N
tt0000241,nm0349785,\N
tt0000242,nm0617588,nm0617588
tt0000243,nm0349785,\N
tt0000244,nm0349785,\N
tt0000245,\N,\N
tt0000246,nm0617588,\N
tt0000247,"nm0002504,nm2156608,nm0005690","nm0000636,nm0002504"
